iter	Passed	Remaining
952	229868	364702
953	230043	364356
954	230131	363872
955	230320	363549
956	230409	363070
957	230577	362713
958	230745	362358
959	230871	361938
960	231043	361590
961	231139	361125
962	231313	360781
963	231494	360449
964	231663	360099
965	231831	359747
966	232005	359405
967	232100	358940
968	232282	358610
969	232464	358282
970	232664	357982
971	232850	357659
972	233035	357337
973	233239	357043
974	233418	356711
975	233562	356326
976	233652	355859
977	233826	355522
978	233901	355033
979	234094	354724
980	234296	354429
981	234480	354108
982	234608	353703
983	234801	353395
984	234913	352965
985	235097	352645
986	235182	352178
987	235300	351759
988	235444	351381
989	235636	351074
990	235835	350778
991	235985	350409
992	236168	350090
993	236350	349770
994	236510	349417
995	236625	348998
996	236809	348683
997	237007	348386
998	237120	347966
999	237312	347663
1000	237512	347370
1001	237710	347075
1002	237980	346886
1003	238188	346607
1004	238452	346408
1005	238656	346123
1006	238885	345874
1007	239106	345613
1008	239304	345319
1009	239497	345018
1010	239593	344579
1011	239774	344260
1012	239960	343950
1013	240158	343658
1014	240352	343361
1015	240550	343068
1016	240727	342746
1017	240819	342304
1018	240951	341919
1019	241135	341608
1020	241209	341143
1021	241387	340824
1022	241583	340530
1023	241768	340223
1024	241951	339911
1025	242136	339604
1026	242320	339296
1027	242500	338981
1028	242598	338552
1029	242808	338281
1030	243032	338030
1031	243246	337763
1032	243483	337530
1033	243583	337106
1034	243782	336820
1035	243999	336559
1036	244200	336275
1037	244391	335979
1038	244593	335698
1039	244786	335404
1040	244975	335105
1041	245163	334806
1042	245355	334511
1043	245553	334225
1044	245744	333930
1045	245944	333647
1046	246137	333355
1047	246335	333069
1048	246450	332673
1049	246641	332379
1050	246786	332022
1051	246971	331721
1052	247072	331306
1053	247264	331015
1054	247417	330672
1055	247550	330301
1056	247716	329975
1057	247899	329673
1058	248096	329389
1059	248227	329019
1060	248403	328707
1061	248581	328399
1062	248745	328073
1063	248866	327689
1064	248947	327254
1065	249115	326934
1066	249230	326546
1067	249404	326234
1068	249499	325819
1069	249666	325500
1070	249841	325191
1071	249957	324805
1072	250029	324362
1073	250176	324018
1074	250356	323717
1075	250539	323419
1076	250713	323110
1077	250876	322787
1078	251039	322465
1079	251208	322151
1080	251300	321738
1081	251488	321449
1082	251671	321154
1083	251863	320870
1084	252043	320571
1085	252244	320298
1086	252435	320015
1087	252629	319734
1088	252830	319462
1089	253040	319202
1090	253266	318962
1091	253369	318567
1092	253461	318159
1093	253648	317872
1094	253863	317619
1095	253971	317232
1096	254108	316882
1097	254234	316519
1098	254424	316237
1099	254612	315950
1100	254826	315698
1101	254900	315271
1102	255074	314969
1103	255300	314731
1104	255421	314365
1105	255510	313959
1106	255692	313668
1107	255883	313388
1108	256087	313124
1109	256286	312853
1110	256462	312556
1111	256671	312299
1112	256853	312008
1113	256973	311644
1114	257080	311263
1115	257253	310963
1116	257362	310585
1117	257476	310214
1118	257598	309854
1119	257694	309463
1120	257863	309160
1121	258039	308865
1122	258225	308582
1123	258439	308334
1124	258587	308006
1125	258728	307670
1126	258914	307388
1127	259152	307169
1128	259252	306786
1129	259375	306430
1130	259486	306061
1131	259662	305768
1132	259860	305502
1133	260028	305200
1134	260237	304947
1135	260319	304545
1136	260509	304271
1137	260715	304015
1138	260895	303729
1139	261072	303439
1140	261262	303165
1141	261469	302910
1142	261645	302621
1143	261800	302306
1144	261918	301949
1145	262007	301559
1146	262183	301270
1147	262359	300982
1148	262531	300688
1149	262726	300421
1150	262922	300156
1151	263114	299886
1152	263283	299590
